user_id,date,steps,calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood
347,2025-06-14T00:00:00Z,3577,2933.77,17.76,1419,10.2,70,Running,Fog,Home,Neutral
736,2024-04-06T00:00:00Z,15261,3733.0,2.4,361,4.3,116,Walking,Rain,Gym,Tired
448,2025-01-10T00:00:00Z,24373,1525.08,16.25,830,9.9,160,Walking,Snow,Home,Neutral
490,2024-10-18T00:00:00Z,23884,2790.08,8.84,250,1.5,73,Yoga,Clear,Home,Happy
359,2023-03-24T00:00:00Z,4201,3703.57,13.71,295,7.6,141,Running,Rain,Home,Stressed
406,2024-08-21T00:00:00Z,12464,2977.19,13.64,1122,7.9,145,Swimming,Fog,Gym,Neutral
379,2023-05-03T00:00:00Z,4210,1756.52,3.85,429,3.3,116,None,Snow,Gym,Tired
511,2025-01-31T00:00:00Z,7917,1627.53,17.04,494,3.6,112,Swimming,Snow,Gym,Neutral
363,2025-02-21T00:00:00Z,18752,3571.87,11.65,1049,7.8,159,None,Rain,Park,Stressed
740,2024-05-02T00:00:00Z,27188,3176.41,3.8,861,2.4,137,Yoga,Rain,Park,Tired
268,2024-08-02T00:00:00Z,26898,2821.3,11.29,548,7.1,115,Swimming,Clear,Other,Neutral
190,2023-01-20T00:00:00Z,16576,3952.1,5.85,957,11.0,90,Cycling,Fog,Other,Tired
559,2025-07-24T00:00:00Z,19441,3764.98,2.89,524,6.9,122,Cycling,Clear,Office,Neutral
997,2024-05-22T00:00:00Z,27283,3574.38,12.16,1436,4.1,162,Cycling,Fog,Gym,Tired
788,2023-03-02T00:00:00Z,11164,2420.16,12.76,170,7.4,176,Cycling,Rain,Gym,Neutral
275,2024-04-24T00:00:00Z,10766,3343.27,19.14,1002,6.4,104,Walking,Rain,Home,Tired
661,2024-02-01T00:00:00Z,14181,2401.0,1.5,1173,4.7,63,Running,Fog,Home,Neutral
130,2024-09-16T00:00:00Z,6188,1901.85,19.21,228,1.7,136,Gym Workout,Fog,Gym,Neutral
14,2023-06-13T00:00:00Z,21303,2908.78,9.7,25,5.6,86,Cycling,Rain,Home,Neutral
767,2023-01-20T00:00:00Z,28598,3911.03,3.37,1433,3.4,61,Gym Workout,Rain,Office,Happy
225,2023-09-06T00:00:00Z,20000,2842.16,4.89,1313,1.3,144,Gym Workout,Fog,Office,Neutral
784,2023-01-25T00:00:00Z,25365,2949.23,15.95,742,5.0,81,Walking,Snow,Gym,Tired
54,2024-01-19T00:00:00Z,20979,2840.51,15.78,426,0.3,163,Yoga,Clear,Gym,Happy
131,2024-01-13T00:00:00Z,21543,1947.22,15.74,247,6.2,70,None,Clear,Office,Neutral
908,2023-04-08T00:00:00Z,22959,3187.55,10.29,647,2.5,156,Cycling,Snow,Other,Happy
988,2024-02-17T00:00:00Z,18877,2613.23,12.9,1300,7.8,88,Running,Rain,Gym,Neutral
506,2024-10-15T00:00:00Z,18452,2381.36,5.43,345,5.1,177,None,Snow,Gym,Tired
412,2025-06-19T00:00:00Z,8008,2165.82,15.24,431,4.5,100,Running,Clear,Park,Neutral
436,2023-08-07T00:00:00Z,19825,2124.71,19.22,983,11.4,104,Cycling,Rain,Office,Tired
499,2023-02-26T00:00:00Z,25004,2301.15,14.9,1425,8.3,165,Walking,Fog,Park,Happy
533,2023-10-17T00:00:00Z,10785,2624.24,14.64,58,0.4,149,Cycling,Snow,Gym,Tired
812,2025-03-20T00:00:00Z,6865,3111.65,14.26,437,7.8,87,Cycling,Fog,Park,Neutral
32,2025-05-11T00:00:00Z,7219,3651.47,13.38,207,9.8,153,Cycling,Clear,Office,Neutral
823,2023-06-25T00:00:00Z,21414,2965.89,2.22,96,11.1,85,Yoga,Rain,Home,Tired
685,2024-09-13T00:00:00Z,23288,1507.95,17.15,130,7.1,120,Cycling,Rain,Park,Happy
235,2024-02-23T00:00:00Z,20705,3249.9,3.73,81,3.2,177,Gym Workout,Clear,Gym,Tired
210,2024-09-28T00:00:00Z,19949,3262.89,19.68,1318,0.8,132,None,Clear,Gym,Neutral
818,2025-05-28T00:00:00Z,29804,3113.91,1.01,136,9.7,99,Gym Workout,Rain,Office,Stressed
220,2024-05-17T00:00:00Z,5204,3316.74,9.82,548,1.1,168,Running,Rain,Home,Happy
214,2025-02-01T00:00:00Z,2893,1526.93,1.09,936,1.1,116,Running,Snow,Home,Neutral
236,2023-07-28T00:00:00Z,27119,2537.89,15.41,612,0.8,69,Running,Rain,Park,Stressed
985,2024-12-11T00:00:00Z,21902,2451.53,4.78,633,0.9,169,Gym Workout,Snow,Office,Stressed
685,2024-08-04T00:00:00Z,14325,2811.3,0.84,1403,1.7,171,Swimming,Rain,Home,Neutral
827,2024-04-29T00:00:00Z,6854,2646.78,7.08,254,8.8,158,Running,Clear,Other,Neutral
150,2023-10-19T00:00:00Z,28694,2653.8,9.86,393,2.8,79,Swimming,Rain,Office,Neutral
193,2023-02-09T00:00:00Z,9053,1807.39,2.16,846,5.3,163,Walking,Rain,Park,Tired
339,2024-06-02T00:00:00Z,12278,3489.9,9.23,338,5.6,167,None,Snow,Gym,Neutral
714,2024-12-03T00:00:00Z,12388,3121.18,6.18,1212,2.9,71,Walking,Fog,Park,Happy
27,2023-10-05T00:00:00Z,27498,1616.58,6.5,785,3.7,126,Swimming,Clear,Park,Happy
244,2023-12-28T00:00:00Z,9327,3322.0,4.47,1254,0.6,108,Gym Workout,Clear,Park,Neutral
817,2023-10-03T00:00:00Z,29553,1724.42,10.66,880,6.0,85,Running,Rain,Other,Happy
545,2025-06-01T00:00:00Z,29813,3068.25,5.63,1330,3.2,116,Cycling,Snow,Other,Stressed
800,2025-02-26T00:00:00Z,1291,2623.35,10.73,11,9.2,81,Running,Rain,Park,Happy
454,2023-12-17T00:00:00Z,17982,2094.25,2.54,1092,1.9,71,Gym Workout,Fog,Home,Neutral
854,2025-09-19T00:00:00Z,22466,3640.78,15.37,82,7.5,118,None,Snow,Office,Neutral
164,2023-01-26T00:00:00Z,29580,1517.65,5.12,1086,1.6,97,None,Rain,Home,Happy
514,2023-10-18T00:00:00Z,18750,2732.07,4.32,1138,5.5,134,Cycling,Rain,Park,Stressed
995,2024-07-23T00:00:00Z,6297,2233.76,9.82,493,10.0,144,Cycling,Rain,Office,Happy
763,2023-04-15T00:00:00Z,15264,3872.82,11.21,440,0.2,136,Yoga,Snow,Office,Neutral
816,2024-05-20T00:00:00Z,16221,2926.7,14.42,908,0.9,128,Swimming,Snow,Home,Stressed
64,2025-03-07T00:00:00Z,17808,1871.12,4.92,393,7.5,170,Walking,Clear,Other,Neutral
537,2023-01-05T00:00:00Z,20498,2864.37,17.27,933,9.5,68,Walking,Fog,Gym,Tired
68,2023-12-19T00:00:00Z,25243,2765.57,7.63,674,6.3,176,Walking,Rain,Home,Tired
301,2023-05-29T00:00:00Z,548,2133.52,4.79,742,7.9,134,Walking,Snow,Home,Happy
718,2024-09-29T00:00:00Z,1067,1944.03,5.24,1429,10.3,162,Swimming,Clear,Home,Tired
162,2024-04-05T00:00:00Z,22941,3859.82,13.77,1036,8.4,93,Walking,Rain,Park,Neutral
24,2023-08-07T00:00:00Z,28180,3882.37,0.22,881,11.5,84,Gym Workout,Rain,Office,Neutral
752,2024-09-03T00:00:00Z,20224,3681.92,13.96,806,4.4,73,Walking,Rain,Home,Neutral
704,2023-07-16T00:00:00Z,23557,2729.74,13.64,502,9.9,159,None,Rain,Other,Tired
303,2024-07-08T00:00:00Z,22707,1745.72,19.51,1347,9.6,125,Swimming,Fog,Gym,Stressed
735,2025-01-07T00:00:00Z,13849,2362.44,18.21,650,3.0,126,Cycling,Rain,Office,Neutral
223,2024-02-19T00:00:00Z,19414,3894.83,19.64,1089,1.0,69,Cycling,Clear,Other,Happy
881,2023-06-10T00:00:00Z,18409,2232.94,1.89,1258,6.8,76,Running,Clear,Other,Stressed
316,2025-02-18T00:00:00Z,27677,3121.85,3.77,81,7.7,150,Swimming,Fog,Office,Stressed
285,2024-07-15T00:00:00Z,23342,2085.59,2.98,1397,7.0,156,Walking,Fog,Other,Happy
62,2023-11-20T00:00:00Z,29448,2331.25,9.44,824,1.7,148,None,Fog,Other,Tired
744,2023-11-26T00:00:00Z,6187,2646.93,18.51,1059,6.9,60,Yoga,Snow,Park,Neutral
556,2024-02-07T00:00:00Z,7943,3521.67,3.26,1148,4.7,110,Yoga,Rain,Gym,Stressed
746,2023-09-14T00:00:00Z,15146,2569.53,0.45,1042,5.4,160,Swimming,Fog,Other,Stressed
316,2023-10-08T00:00:00Z,9901,3504.9,7.87,313,0.0,76,Cycling,Rain,Other,Stressed
41,2025-04-28T00:00:00Z,20754,2938.7,4.3,1151,11.2,179,None,Clear,Office,Tired
631,2024-01-06T00:00:00Z,17182,2534.89,16.4,920,9.6,163,None,Fog,Other,Tired
11,2024-06-03T00:00:00Z,23604,3512.73,3.53,1160,3.0,160,Cycling,Snow,Gym,Neutral
766,2024-01-01T00:00:00Z,26566,2968.09,1.92,679,3.2,121,Cycling,Snow,Gym,Tired
970,2023-08-01T00:00:00Z,28073,2961.58,17.43,244,2.9,131,Gym Workout,Fog,Office,Tired
88,2024-08-31T00:00:00Z,2277,2229.83,10.04,560,0.9,132,Yoga,Clear,Park,Stressed
792,2025-09-18T00:00:00Z,12007,2644.13,2.27,1346,8.0,94,None,Clear,Park,Stressed
801,2024-04-23T00:00:00Z,2515,3960.22,3.24,153,4.3,80,Walking,Snow,Office,Neutral
507,2025-08-28T00:00:00Z,7761,3395.66,19.45,415,0.4,166,Cycling,Fog,Park,Tired
682,2024-04-07T00:00:00Z,210,1715.45,9.48,1212,3.7,107,Walking,Rain,Office,Tired
192,2023-11-06T00:00:00Z,27512,1677.77,13.56,199,0.3,163,Walking,Rain,Other,Neutral
607,2025-04-13T00:00:00Z,25304,3489.2,13.06,1005,9.9,139,Yoga,Snow,Home,Neutral
931,2025-09-24T00:00:00Z,18607,2137.43,18.39,246,5.5,67,Running,Clear,Park,Stressed
955,2024-06-01T00:00:00Z,983,1683.08,6.5,940,8.2,107,Walking,Fog,Gym,Stressed
645,2023-08-08T00:00:00Z,9686,2835.42,12.52,349,1.3,143,Cycling,Fog,Office,Stressed
968,2023-10-18T00:00:00Z,14756,3443.53,11.4,532,1.2,134,Cycling,Rain,Other,Neutral
144,2025-08-06T00:00:00Z,24758,2308.27,11.11,202,4.0,165,None,Fog,Office,Stressed
569,2023-04-07T00:00:00Z,16192,2831.76,7.06,1233,12.0,94,Cycling,Snow,Home,Neutral
877,2023-10-12T00:00:00Z,3401,3811.9,8.41,1405,4.1,170,Yoga,Fog,Other,Happy
641,2024-11-16T00:00:00Z,19857,2125.8,8.71,551,3.6,77,Gym Workout,Snow,Home,Happy
206,2024-01-07T00:00:00Z,10800,3095.95,13.32,584,9.2,151,Running,Snow,Park,Stressed
931,2025-05-14T00:00:00Z,12459,2753.0,3.11,519,7.3,95,Swimming,Fog,Park,Neutral
107,2025-07-25T00:00:00Z,16233,1608.58,10.02,360,4.2,117,Yoga,Rain,Park,Tired
385,2024-06-16T00:00:00Z,21183,2972.91,9.95,1264,8.4,118,Swimming,Snow,Home,Neutral
651,2024-04-26T00:00:00Z,2113,2909.33,4.18,725,9.0,145,Yoga,Snow,Office,Stressed
849,2023-11-06T00:00:00Z,21177,3681.95,0.92,604,8.0,133,None,Rain,Gym,Tired
230,2024-11-20T00:00:00Z,9574,2842.2,0.43,904,7.5,165,Cycling,Rain,Other,Happy
999,2023-11-23T00:00:00Z,12451,2698.75,2.86,986,1.9,176,None,Snow,Gym,Neutral
675,2025-05-11T00:00:00Z,3678,3934.61,5.59,546,5.6,141,Yoga,Snow,Park,Neutral
82,2023-05-21T00:00:00Z,9287,3128.61,19.53,982,5.4,68,Swimming,Fog,Office,Stressed
551,2025-05-23T00:00:00Z,4293,3972.31,6.64,627,7.5,78,Running,Fog,Park,Tired
981,2024-12-20T00:00:00Z,3910,3599.07,0.84,229,9.9,167,Gym Workout,Snow,Other,Neutral
74,2023-10-14T00:00:00Z,27840,1618.36,2.22,614,7.6,157,Running,Snow,Gym,Tired
690,2024-02-21T00:00:00Z,9511,1644.28,6.29,346,8.8,112,None,Clear,Office,Neutral
469,2023-10-20T00:00:00Z,29240,3663.88,5.88,930,7.1,129,Gym Workout,Snow,Gym,Tired
964,2023-09-17T00:00:00Z,25111,2895.51,14.95,16,7.3,173,Cycling,Clear,Office,Happy
345,2025-04-29T00:00:00Z,4006,3810.54,6.56,118,9.6,118,Cycling,Rain,Office,Stressed
950,2025-07-17T00:00:00Z,28739,2365.69,11.05,80,1.9,151,Cycling,Clear,Home,Happy
948,2025-07-13T00:00:00Z,22170,2208.33,19.88,603,2.2,174,Walking,Fog,Park,Stressed
356,2023-02-12T00:00:00Z,20998,2642.87,14.87,1346,0.7,86,Yoga,Fog,Office,Happy
71,2023-02-15T00:00:00Z,4668,2490.92,2.2,1035,11.4,131,Walking,Snow,Other,Tired
291,2023-05-26T00:00:00Z,4362,2160.18,10.03,1210,11.2,69,Walking,Rain,Office,Happy
562,2024-05-18T00:00:00Z,8844,3876.78,3.15,928,3.6,107,Yoga,Clear,Home,Neutral
282,2024-10-04T00:00:00Z,25084,3366.12,16.43,753,1.7,127,Walking,Snow,Park,Tired
477,2024-06-26T00:00:00Z,29612,2273.74,11.9,185,4.8,149,Gym Workout,Fog,Office,Happy
736,2025-05-24T00:00:00Z,7154,3434.47,12.7,1309,9.7,131,Yoga,Rain,Gym,Happy
99,2023-11-06T00:00:00Z,5044,2220.42,10.28,1383,0.7,128,None,Fog,Office,Stressed
780,2025-06-14T00:00:00Z,16040,2456.42,7.3,1286,5.2,119,Walking,Fog,Park,Tired
275,2023-03-13T00:00:00Z,21366,3481.64,3.35,881,4.0,139,Swimming,Clear,Other,Stressed
967,2025-09-02T00:00:00Z,2723,2708.87,3.91,532,4.1,168,Gym Workout,Clear,Park,Happy
7,2025-09-17T00:00:00Z,20617,2794.63,18.29,1314,0.5,153,Gym Workout,Rain,Other,Tired
29,2025-01-19T00:00:00Z,2567,2955.17,2.26,354,8.0,73,Yoga,Clear,Office,Happy
683,2024-04-20T00:00:00Z,29231,1557.53,11.05,274,5.9,163,Yoga,Snow,Home,Stressed
915,2023-12-29T00:00:00Z,4689,3070.16,6.84,412,9.5,162,Cycling,Snow,Office,Tired
881,2023-06-11T00:00:00Z,25906,2231.92,14.48,218,10.5,69,Walking,Snow,Other,Tired
122,2023-01-21T00:00:00Z,9503,2774.98,1.71,824,8.5,88,Swimming,Clear,Park,Neutral
972,2024-07-01T00:00:00Z,28272,2368.12,14.07,660,10.5,145,Cycling,Snow,Home,Neutral
397,2025-03-23T00:00:00Z,25771,2418.03,19.6,552,5.8,80,Yoga,Fog,Gym,Neutral
720,2024-12-15T00:00:00Z,6796,3537.75,3.66,1427,3.0,132,Walking,Snow,Home,Neutral
415,2024-06-29T00:00:00Z,20549,2857.2,8.21,52,10.0,82,Cycling,Clear,Home,Neutral
499,2025-01-23T00:00:00Z,29910,2278.61,1.62,63,2.4,177,Swimming,Clear,Gym,Happy
284,2024-05-02T00:00:00Z,19365,3829.85,2.16,435,1.1,86,Walking,Snow,Park,Neutral
119,2024-07-28T00:00:00Z,8496,1513.9,19.12,668,4.6,110,Cycling,Snow,Other,Stressed
215,2025-02-01T00:00:00Z,13341,2917.99,15.23,1011,11.0,142,Running,Fog,Home,Neutral
816,2023-04-27T00:00:00Z,6621,3654.02,15.87,894,1.1,139,Cycling,Snow,Gym,Stressed
269,2025-02-21T00:00:00Z,10211,2912.57,12.26,1018,2.2,117,Walking,Snow,Gym,Stressed
848,2024-09-23T00:00:00Z,13840,2160.25,8.08,541,4.4,138,Running,Rain,Other,Tired
583,2023-10-21T00:00:00Z,28622,2760.01,2.97,442,4.8,77,None,Snow,Office,Tired
462,2025-06-08T00:00:00Z,7633,3061.9,17.35,320,7.0,69,Running,Fog,Other,Happy
2,2025-05-10T00:00:00Z,21434,3060.43,5.58,687,10.1,149,Gym Workout,Rain,Other,Stressed
348,2023-06-29T00:00:00Z,572,2778.62,1.18,698,4.2,110,Gym Workout,Rain,Park,Tired
970,2025-03-17T00:00:00Z,4474,3002.55,6.89,1231,10.0,91,Running,Clear,Office,Stressed
535,2024-02-09T00:00:00Z,26509,2772.53,14.25,647,11.4,66,Walking,Rain,Other,Happy
133,2023-11-18T00:00:00Z,6518,2093.8,10.21,223,7.8,157,Cycling,Rain,Other,Stressed
213,2023-04-09T00:00:00Z,23611,2442.73,8.66,1125,5.1,173,None,Fog,Home,Tired
108,2023-09-28T00:00:00Z,12549,2390.59,5.47,517,1.8,115,None,Rain,Other,Happy
904,2023-02-05T00:00:00Z,13812,2931.85,3.3,557,1.1,65,Running,Rain,Gym,Neutral
764,2024-08-26T00:00:00Z,26919,3493.07,1.69,268,0.3,80,Gym Workout,Snow,Other,Neutral
495,2024-01-26T00:00:00Z,24948,3766.95,17.75,782,8.7,138,Walking,Fog,Home,Neutral
827,2023-06-07T00:00:00Z,6397,3781.53,14.8,800,3.1,73,Swimming,Snow,Office,Neutral
94,2025-09-14T00:00:00Z,9944,3835.68,5.18,828,10.7,161,None,Snow,Home,Happy
357,2025-07-28T00:00:00Z,24519,3187.56,1.58,1438,10.6,87,None,Fog,Park,Tired
605,2023-03-21T00:00:00Z,21557,3274.46,17.21,749,11.0,170,Running,Clear,Park,Neutral
362,2024-06-05T00:00:00Z,16624,2140.38,5.9,12,0.2,171,Walking,Fog,Park,Stressed
215,2024-09-01T00:00:00Z,25199,3558.87,19.76,884,6.8,107,Gym Workout,Clear,Other,Happy
588,2024-02-14T00:00:00Z,18531,1682.86,8.42,599,9.8,164,None,Clear,Park,Happy
864,2024-06-27T00:00:00Z,19418,2878.77,13.81,912,4.8,108,Gym Workout,Clear,Office,Happy
257,2024-07-15T00:00:00Z,17677,2379.99,10.32,1000,9.1,119,Running,Fog,Office,Stressed
379,2023-01-06T00:00:00Z,24152,1965.66,11.6,247,9.0,153,Running,Snow,Home,Tired
893,2025-09-05T00:00:00Z,20684,2656.57,6.07,619,8.9,85,Gym Workout,Snow,Gym,Stressed
547,2024-12-29T00:00:00Z,16685,2398.62,13.44,64,9.8,170,Cycling,Snow,Other,Happy
25,2023-07-20T00:00:00Z,25103,3105.79,0.66,663,10.9,162,Swimming,Snow,Gym,Stressed
972,2023-11-18T00:00:00Z,24089,3833.99,15.38,644,7.2,67,Cycling,Fog,Office,Neutral
11,2023-06-08T00:00:00Z,23441,3504.5,11.22,140,0.3,136,None,Snow,Office,Happy
799,2024-04-18T00:00:00Z,8013,3160.17,18.8,1031,8.2,166,Walking,Rain,Home,Tired
603,2025-01-30T00:00:00Z,217,2078.88,14.8,64,5.8,145,Gym Workout,Clear,Office,Happy
618,2024-06-02T00:00:00Z,5586,2340.09,17.24,1157,8.7,174,None,Snow,Office,Tired
353,2025-08-07T00:00:00Z,25571,2518.17,13.86,224,5.1,153,Walking,Snow,Office,Neutral
357,2025-08-22T00:00:00Z,6412,2567.05,11.23,780,8.0,112,Walking,Fog,Park,Tired
509,2024-07-14T00:00:00Z,9472,3677.11,7.81,1112,4.6,78,Swimming,Fog,Office,Happy
802,2023-08-06T00:00:00Z,19115,2470.98,11.53,247,3.4,179,Yoga,Snow,Home,Neutral
649,2023-11-18T00:00:00Z,11378,3977.39,3.74,370,1.9,109,Swimming,Snow,Home,Stressed
448,2025-02-23T00:00:00Z,15861,1700.23,12.87,1047,2.6,133,Swimming,Fog,Other,Stressed
790,2023-12-29T00:00:00Z,21213,3706.01,10.15,404,5.9,88,Cycling,Snow,Gym,Tired
869,2023-09-20T00:00:00Z,20393,2462.43,5.44,690,6.4,174,Gym Workout,Fog,Home,Tired
817,2023-12-12T00:00:00Z,9678,1971.45,3.73,1188,7.6,108,Walking,Clear,Home,Neutral
345,2023-03-20T00:00:00Z,22772,2044.0,11.92,1294,5.1,60,Cycling,Snow,Home,Happy
488,2024-06-05T00:00:00Z,17271,1912.64,2.03,1386,5.0,81,Gym Workout,Snow,Home,Neutral
615,2024-12-03T00:00:00Z,29192,3553.48,11.48,1398,10.6,71,Walking,Snow,Office,Stressed
439,2023-04-26T00:00:00Z,29186,3041.31,16.9,394,4.9,116,Running,Clear,Home,Happy
839,2025-02-02T00:00:00Z,17202,3349.8,16.77,92,2.7,82,Cycling,Snow,Gym,Happy
169,2024-10-15T00:00:00Z,4563,2606.66,15.4,1000,4.7,139,Cycling,Fog,Home,Stressed
345,2023-11-10T00:00:00Z,16807,2138.02,11.57,454,5.0,64,Swimming,Snow,Park,Tired
830,2025-07-14T00:00:00Z,27210,2091.51,4.13,607,1.0,144,Yoga,Rain,Gym,Happy
446,2024-09-03T00:00:00Z,18198,3928.84,14.44,607,3.4,70,Swimming,Rain,Home,Stressed
474,2024-08-19T00:00:00Z,3673,1510.03,17.75,163,11.6,95,Cycling,Fog,Gym,Stressed
933,2024-06-08T00:00:00Z,1641,2345.78,2.71,461,0.4,165,Swimming,Clear,Office,Tired
190,2023-08-06T00:00:00Z,26050,2334.27,10.64,327,5.3,103,Walking,Snow,Gym,Tired
880,2024-04-07T00:00:00Z,29704,2857.0,18.64,284,11.0,95,Gym Workout,Clear,Other,Stressed
237,2025-03-31T00:00:00Z,16684,2127.72,0.54,399,5.9,111,Gym Workout,Snow,Park,Tired
417,2025-05-06T00:00:00Z,16244,2548.34,17.88,484,10.4,105,Swimming,Snow,Office,Tired
658,2024-08-21T00:00:00Z,12895,2696.54,0.58,1345,1.1,167,None,Clear,Office,Happy
856,2025-06-04T00:00:00Z,24181,3809.21,7.9,126,0.1,162,Running,Snow,Gym,Neutral
567,2023-09-24T00:00:00Z,3321,3732.81,14.48,1011,10.1,143,Swimming,Clear,Park,Happy
900,2023-02-24T00:00:00Z,4545,3287.74,3.57,29,2.5,151,Gym Workout,Clear,Gym,Stressed
634,2024-02-13T00:00:00Z,1070,3515.34,9.94,79,9.0,113,Gym Workout,Fog,Park,Tired
503,2023-11-28T00:00:00Z,22543,3724.41,18.34,1013,9.5,95,Walking,Fog,Other,Neutral
725,2024-10-24T00:00:00Z,22157,2689.78,17.52,866,2.5,149,Walking,Snow,Home,Happy
943,2025-05-28T00:00:00Z,9274,3696.83,10.92,213,7.9,93,Walking,Fog,Office,Tired
385,2024-08-09T00:00:00Z,17141,3333.88,17.36,515,10.9,99,Running,Rain,Park,Stressed
312,2023-04-12T00:00:00Z,3903,3341.93,12.7,123,7.4,73,Gym Workout,Fog,Office,Tired
420,2023-03-16T00:00:00Z,29908,3005.54,9.93,741,0.2,109,Gym Workout,Fog,Home,Tired
796,2024-11-24T00:00:00Z,7973,2894.2,11.38,936,1.2,104,Running,Clear,Office,Neutral
544,2024-12-06T00:00:00Z,59,1978.64,9.33,1104,6.0,174,Yoga,Rain,Gym,Tired
355,2023-10-03T00:00:00Z,7405,1833.68,19.41,1148,7.0,112,Walking,Rain,Office,Happy
440,2023-10-11T00:00:00Z,15735,1859.63,9.28,196,7.1,87,Running,Fog,Other,Neutral
351,2024-10-08T00:00:00Z,17670,3004.33,1.6,590,5.1,89,Running,Fog,Home,Tired
39,2025-02-17T00:00:00Z,21552,2906.08,3.47,709,4.3,139,None,Rain,Office,Happy
456,2024-08-20T00:00:00Z,18526,1864.91,9.3,619,2.0,110,Cycling,Fog,Office,Stressed
437,2024-08-02T00:00:00Z,8629,2489.87,0.81,1329,2.8,63,None,Snow,Gym,Stressed
465,2023-08-26T00:00:00Z,3448,2046.84,7.42,1414,9.0,85,Cycling,Snow,Home,Neutral
422,2024-08-16T00:00:00Z,24570,2415.08,14.11,458,3.2,141,Running,Rain,Other,Neutral
116,2025-01-15T00:00:00Z,19543,2611.95,16.93,1254,4.6,64,Cycling,Snow,Home,Neutral
122,2024-01-31T00:00:00Z,1125,1596.14,13.6,1077,6.5,62,Swimming,Fog,Office,Stressed
390,2025-03-20T00:00:00Z,21201,1692.29,16.35,22,0.3,72,Cycling,Snow,Office,Neutral
817,2023-10-26T00:00:00Z,18146,2191.63,1.62,1343,1.4,65,None,Rain,Park,Stressed
877,2024-10-26T00:00:00Z,29539,2576.47,8.29,901,0.8,86,Walking,Rain,Office,Happy
489,2025-01-26T00:00:00Z,27716,2991.96,3.0,1318,10.1,142,Yoga,Clear,Gym,Stressed
769,2024-04-21T00:00:00Z,20604,1582.55,10.14,1341,8.8,151,Cycling,Fog,Home,Neutral
11,2023-09-13T00:00:00Z,5495,3638.41,11.27,215,2.5,101,None,Rain,Gym,Tired
996,2023-11-19T00:00:00Z,10863,2526.63,3.99,275,7.9,161,None,Rain,Park,Tired
592,2023-01-07T00:00:00Z,8022,3162.12,0.96,661,9.6,121,Cycling,Snow,Home,Neutral
61,2024-05-01T00:00:00Z,2133,2806.0,2.68,925,5.2,110,Gym Workout,Clear,Office,Neutral
28,2024-08-08T00:00:00Z,24237,3996.36,5.47,625,5.0,63,Swimming,Clear,Other,Neutral
955,2023-11-16T00:00:00Z,520,1877.77,6.64,237,8.9,68,Swimming,Snow,Home,Stressed
204,2025-07-12T00:00:00Z,6109,2563.03,19.04,1239,7.0,105,Swimming,Rain,Gym,Tired
